Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,4.606223776936531,4.510626181960106,0.024509803921568627,0.029411764705882353
2,4.447592169046402,4.333782650530338,0.03529411764705882,0.059803921568627454
3,4.283994078636169,4.18609369546175,0.052941176470588235,0.07450980392156863
4,4.160083122551441,4.053340665996075,0.047058823529411764,0.10882352941176471
5,4.004127524793148,3.9614365249872208,0.07156862745098039,0.11470588235294117
6,3.889176160097122,3.8576993495225906,0.07450980392156863,0.13529411764705881
7,3.862331174314022,3.7770729288458824,0.07941176470588235,0.1607843137254902
8,3.83692317456007,3.748943731188774,0.07549019607843137,0.1607843137254902
9,3.738219864666462,3.70968559384346,0.10196078431372549,0.16470588235294117
10,3.7425039187073708,3.6999017521739006,0.09509803921568627,0.1627450980392157
11,3.6982821077108383,3.6421110033988953,0.10490196078431373,0.17745098039215687
12,3.670180991292,3.6221251860260963,0.10098039215686275,0.17549019607843136
13,3.6223327219486237,3.6133973747491837,0.1284313725490196,0.19901960784313724
14,3.64060390740633,3.5846933647990227,0.11764705882352941,0.1931372549019608
15,3.6276222616434097,3.5568307042121887,0.11470588235294117,0.19019607843137254
16,3.644667111337185,3.556295484304428,0.10784313725490197,0.18235294117647058
17,3.5977922454476357,3.559587061405182,0.11764705882352941,0.18333333333333332
18,3.564334414899349,3.542740471661091,0.13137254901960785,0.1892156862745098
19,3.543541893362999,3.5293686911463737,0.11764705882352941,0.1980392156862745
20,3.526820182800293,3.5098862424492836,0.11764705882352941,0.1980392156862745
