,precision,recall,f1-score,support
0,0.2236842105263158,0.85,0.3541666666666667,20.0
1,0.9487179487179487,0.925,0.9367088607594937,40.0
2,0.2857142857142857,0.1,0.14814814814814814,20.0
3,0.2903225806451613,0.25,0.26865671641791045,36.0
4,0.8148148148148148,0.4888888888888889,0.6111111111111112,45.0
5,0.78125,1.0,0.8771929824561403,25.0
6,0.8823529411764706,0.75,0.8108108108108109,20.0
7,0.8227848101265823,1.0,0.9027777777777778,65.0
8,0.5151515151515151,0.6538461538461539,0.576271186440678,26.0
9,0.7272727272727273,0.96,0.8275862068965517,25.0
10,0.6842105263157895,0.19402985074626866,0.3023255813953488,67.0
11,0.9166666666666666,0.8208955223880597,0.8661417322834646,67.0
12,0.6744186046511628,1.0,0.8055555555555556,29.0
13,0.896551724137931,0.9285714285714286,0.9122807017543859,28.0
14,0.6428571428571429,0.9310344827586207,0.7605633802816901,29.0
15,0.38,0.9047619047619048,0.5352112676056338,21.0
16,0.9333333333333333,0.8615384615384616,0.896,65.0
17,0.576271186440678,0.5483870967741935,0.5619834710743802,62.0
18,0.6,0.7241379310344828,0.65625,29.0
19,0.725,0.8055555555555556,0.7631578947368421,36.0
20,0.41025641025641024,0.8,0.5423728813559322,20.0
21,0.6956521739130435,0.8205128205128205,0.7529411764705882,39.0
22,0.9090909090909091,0.8450704225352113,0.8759124087591241,71.0
23,0.5588235294117647,0.8636363636363636,0.6785714285714286,22.0
24,0.45454545454545453,0.9523809523809523,0.6153846153846154,21.0
25,0.6363636363636364,0.6666666666666666,0.6511627906976745,21.0
26,0.9444444444444444,0.85,0.8947368421052632,20.0
27,0.72,0.782608695652174,0.75,46.0
28,0.9259259259259259,0.8620689655172413,0.8928571428571429,58.0
29,0.8571428571428571,0.5538461538461539,0.6728971962616822,65.0
30,0.6785714285714286,0.59375,0.6333333333333333,32.0
31,0.5454545454545454,0.48,0.5106382978723404,25.0
32,0.6410256410256411,0.9615384615384616,0.7692307692307693,26.0
33,0.2608695652173913,0.6,0.36363636363636365,20.0
34,0.9,0.782608695652174,0.8372093023255814,23.0
35,0.9666666666666667,0.5272727272727272,0.6823529411764706,55.0
36,0.7631578947368421,0.9886363636363636,0.8613861386138614,88.0
37,0.868421052631579,0.9166666666666666,0.8918918918918919,36.0
38,0.25,0.3333333333333333,0.2857142857142857,21.0
39,0.8918918918918919,0.7021276595744681,0.7857142857142857,47.0
40,0.8282828282828283,0.7663551401869159,0.7961165048543689,107.0
41,0.696969696969697,0.5897435897435898,0.6388888888888888,39.0
42,0.7719298245614035,0.4,0.5269461077844312,110.0
43,0.4235294117647059,0.9863013698630136,0.5925925925925926,73.0
44,0.7391304347826086,0.85,0.7906976744186046,20.0
45,0.7816091954022989,0.7727272727272727,0.7771428571428571,176.0
46,0.9038461538461539,1.0,0.9494949494949495,47.0
47,0.532608695652174,0.9607843137254902,0.6853146853146853,51.0
48,0.7368421052631579,0.9655172413793104,0.835820895522388,29.0
49,0.8591549295774648,0.8472222222222222,0.8531468531468531,72.0
50,0.9855072463768116,0.2857142857142857,0.44299674267100975,238.0
51,0.9811320754716981,0.8,0.8813559322033898,65.0
52,0.675,0.3698630136986301,0.4778761061946903,73.0
53,0.868421052631579,0.8048780487804879,0.8354430379746836,41.0
54,0.4519230769230769,0.9215686274509803,0.6064516129032258,51.0
55,0.7582417582417582,0.7752808988764045,0.7666666666666667,89.0
56,0.581081081081081,0.9148936170212766,0.7107438016528925,47.0
57,0.9438202247191011,0.8936170212765957,0.9180327868852459,94.0
58,0.5769230769230769,0.9574468085106383,0.72,47.0
59,0.6991869918699187,0.9662921348314607,0.8113207547169812,89.0
60,0.7142857142857143,1.0,0.8333333333333334,30.0
61,0.5294117647058824,0.5142857142857142,0.5217391304347826,35.0
62,0.8292682926829268,1.0,0.9066666666666666,34.0
63,0.7619047619047619,1.0,0.8648648648648649,32.0
64,0.935064935064935,0.8780487804878049,0.9056603773584906,82.0
65,0.47126436781609193,1.0,0.640625,41.0
66,0.296875,0.8636363636363636,0.4418604651162791,22.0
67,0.9411764705882353,0.47058823529411764,0.6274509803921569,34.0
68,0.8611111111111112,0.9117647058823529,0.8857142857142857,34.0
69,0.9393939393939394,0.7380952380952381,0.8266666666666667,42.0
70,0.7073170731707317,1.0,0.8285714285714286,58.0
71,0.875,0.4605263157894737,0.603448275862069,76.0
72,0.9375,0.7758620689655172,0.8490566037735849,174.0
73,0.9523809523809523,0.3973509933774834,0.5607476635514018,151.0
74,0.8602150537634409,0.8,0.8290155440414507,100.0
75,0.6666666666666666,0.8275862068965517,0.7384615384615385,87.0
76,0.9598214285714286,0.9307359307359307,0.945054945054945,231.0
77,0.676923076923077,0.7521367521367521,0.7125506072874493,117.0
78,0.68,0.8095238095238095,0.7391304347826086,21.0
79,0.8241758241758241,0.8823529411764706,0.8522727272727273,85.0
80,0.9285714285714286,0.9794520547945206,0.9533333333333334,146.0
81,0.9347826086956522,0.4673913043478261,0.6231884057971014,92.0
82,0.6222222222222222,0.5045045045045045,0.5572139303482587,111.0
83,0.4507042253521127,0.48484848484848486,0.46715328467153283,66.0
84,0.6170212765957447,0.6744186046511628,0.6444444444444445,43.0
85,0.6956521739130435,0.8421052631578947,0.7619047619047619,38.0
86,0.3829787234042553,0.8372093023255814,0.5255474452554745,43.0
87,0.8507462686567164,0.4253731343283582,0.5671641791044776,134.0
