Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.3239100724458694,1.5492330845445395,0.8068627450980392,0.7607843137254902
2,1.3493397533893585,1.5499293729662895,0.796078431372549,0.7676470588235295
3,1.339111801236868,1.5425073355436325,0.8107843137254902,0.7490196078431373
4,1.315761275589466,1.5514833964407444,0.7980392156862746,0.7509803921568627
5,1.3540376499295235,1.5149830766022205,0.7970588235294118,0.7705882352941177
6,1.3402657974511385,1.5224445648491383,0.7970588235294118,0.7598039215686274
7,1.2926665544509888,1.521397216245532,0.8186274509803921,0.7598039215686274
8,1.3079817555844784,1.5489995405077934,0.8176470588235294,0.75
9,1.2971330638974905,1.5407631769776344,0.8117647058823529,0.7480392156862745
10,1.2888046130537987,1.5233765076845884,0.8176470588235294,0.7568627450980392
11,1.2744299210608006,1.515577558428049,0.8117647058823529,0.7686274509803922
12,1.2927539087831974,1.5078308377414942,0.8215686274509804,0.7617647058823529
13,1.3085140958428383,1.5233306363224983,0.8215686274509804,0.7549019607843137
14,1.3083432540297508,1.5229171719402075,0.8156862745098039,0.7676470588235295
15,1.297420833259821,1.4841986820101738,0.8225490196078431,0.7637254901960784
16,1.2956730779260397,1.5023517571389675,0.807843137254902,0.7598039215686274
17,1.3087226953357458,1.51821543648839,0.8049019607843138,0.7598039215686274
18,1.2923980690538883,1.4852677267044783,0.8088235294117647,0.7676470588235295
19,1.3600939456373453,1.501806054264307,0.7794117647058824,0.765686274509804
20,1.283531317487359,1.5329383127391338,0.8117647058823529,0.7598039215686274
