Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,2.426193527877331,2.115993343293667,0.4931372549019608,0.6558823529411765
2,2.3691379837691784,2.098984085023403,0.515686274509804,0.6519607843137255
3,2.3509323224425316,2.018994811922312,0.5,0.657843137254902
4,2.3124510161578655,2.0007097497582436,0.5205882352941177,0.6666666666666666
5,2.2499033138155937,1.9874709770083427,0.5519607843137255,0.6705882352941176
6,2.263632718473673,1.9552732072770596,0.5098039215686274,0.6715686274509803
7,2.2513394318521023,1.924171218648553,0.5343137254901961,0.6794117647058824
8,2.2469712123274803,1.931491930037737,0.5205882352941177,0.6813725490196079
9,2.2487013824284077,1.9170378260314465,0.5196078431372549,0.6813725490196079
10,2.1748589277267456,1.8853224646300077,0.5343137254901961,0.6862745098039216
